sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
PLOHPD830,PLOHPD830,"Plotter HP DesignJet T230 de 24 pulgadas (5HB07D). Alimentación Automática, Alimentación por ho","Plotter HP DesignJet T230 de 24 pulgadas (5HB07D). Alimentación Automática, Alimentación por hojas, alimentación por rollo, cortador horizontal automático. Velocidad de impresión 35 segundos por página en A1, 68 impresiones A1 por hora. Tecnología de impresión inyección térmica de tinta HP. Tamaños de soportes de impresión admitidos A4, A3, A2, A1. Tamaños de soportes, personalizado 210 x 279 a 610 x 1897 mm Peso de soporte, recomendado De 60 a 280 g/m². Un año de garantía limitada para el hardware. CORROBORAR CARGO DE FLETE. Sustituye a T250 (5HB06A).",T230,m,10526.315789473685,10526.32,539.81,15789.48,15789.48,21052.64,14736.85,12631.58,impresoras,./assets/img/catalog/impresoras/PLOHPD830.jpg,https://static.ctonline.mx/imagenes/PLOHPD830/PLOHPD830_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD610,PLOHPD610,"Plotter HP DesignJet T650 de 24 pulgadas (5HB08D) (60.96cm). Alimentador de hojas, alimentador ","Plotter HP DesignJet T650 de 24 pulgadas (5HB08D) (60.96cm). Alimentador de hojas, alimentador de rollos, alimentador automático de hojas, bandeja de materiales, cortador horizontal automático. Velocidad de impresión: 26 segundos por página en A1, 81 impresiones A1 por hora. Tamaño del rodillo 279 a 610 mm. Tamaño de hoja 210 x 279 a 610 x 1897 mm. Gramaje soportado: 60 a 280 g/m² (rollo/alimentación manual); 60 a 220 g/m² (alimentador automático de hojas). Conectividad: Gigabit Ethernet (1000Base-T), USB de alta velocidad 2.0, Wi-Fi 802.11. Lenguajes de impresión (estándar): HP-GL/2, HP-RTL, CALS G4, JPEG, URF. Certificación ambiental: ENERGY STAR; ErP; EPEAT Gold. Sustituye a: T530 24in (5ZY60A).  Consumibles: No. 712 CORROBORAR CARGO DE FLETE.",T650,m,39462.10526315789,39462.11,2023.7,59193.17,59193.17,78924.22,55246.95,47354.53,impresoras,./assets/img/catalog/impresoras/PLOHPD610.jpg,https://static.ctonline.mx/imagenes/PLOHPD610/PLOHPD610_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD840,PLOHPD840,"Plotter HP DesignJet T650 de 36 pulgadas (5HB10D) (91.44cm). Alimentador de hojas, alimentador ","Plotter HP DesignJet T650 de 36 pulgadas (5HB10D) (91.44cm). Alimentador de hojas, alimentador de rollos, alimentador automático de hojas, bandeja de materiales, cortador horizontal automático. Velocidad de impresión: 25 segundos por página en A1, 82 impresiones A1 por hora. Tamaño del rodillo 279 a 914 mm. Tamaño de hoja 210 x 279 a 914 x 1897 mm. Gramaje soportado: 60 a 280 g/m² (rollo/alimentación manual); 60 a 220 g/m² (alimentador automático de hojas). Conectividad: Gigabit Ethernet (1000Base-T), USB de alta velocidad 2.0, Wi-Fi 802.11. Lenguajes de impresión (estándar): HP-GL/2, HP-RTL, CALS G4, JPEG, URF. Certificación ambiental: ENERGY STAR; ErP; EPEAT Gold. Sustituye a: T530 36in (5ZY62A).  Consumibles: No. 712 CORROBORAR CARGO DE FLETE.",T650,m,39472.631578947374,39472.63,2024.24,59208.94,59208.94,78945.26,55261.68,47367.16,impresoras,./assets/img/catalog/impresoras/PLOHPD840.jpg,https://static.ctonline.mx/imagenes/PLOHPD840/PLOHPD840_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD760,PLOHPD760,Plotter HP DesignJet T850 de 36 pulgadas. Modelo: 2Y9H0A. Tecnología de impresión: inyección té,"Plotter HP DesignJet T850 de 36 pulgadas. Modelo: 2Y9H0A. Tecnología de impresión: inyección térmica de tinta HP.  Memoria: 1 GB. Tamaño del modelo: 914 mm. Velocidad de impresión: 25 segundos por página en A1, 90 impresiones A1 por hora. Calidad de impresión en color: Optimizada hasta 2400 x 1200 dpi. Consumibles: Rendimiento de 130ml Negro 498N4A, Cian 498N5A, Magenta 498N6A, Amarillo 498N7A. Rendimiento 300ml Negro 498N8A, Cian 676M6A, Magenta 676M7A, Amarillo 676M8A. Cabezal 498N0A.",T850,m,83837.8947368421,83837.89,4299.38,125756.83,125756.83,167675.78,117373.05,100605.47,impresoras,./assets/img/catalog/impresoras/PLOHPD760.jpg,https://static.ctonline.mx/imagenes/PLOHPD760/PLOHPD760_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD770,PLOHPD770,"Plotter HP DesignJet T850 de 36 pulgadas. Modelo: 2Y9H2A. Impresión, Copia , Escaneado. Tecnolo","Plotter HP DesignJet T850 de 36 pulgadas. Modelo: 2Y9H2A. Impresión, Copia , Escaneado. Tecnología de impresión: Inyección térmica de tinta HP. Memoria: 2GB. Tamaño del modelo: 914 mm. Velocidad de impresión: 25 segundos por página en A1, 90 impresiones A1 por hora. Calidad de impresión en color: Optimizada hasta 2400 x 1200 dpi. Tamaño de escaneo, máximo: 914 mm x 2,77 m.  Dimensiones: 1575 x 570 x 650 mm. Peso: 83,5 kg. Consumibles: Rendimiento de 130ml Negro 498N4A, Cian 498N5A, Magenta 498N6A, Amarillo 498N7A. Rendimiento 300ml Negro 498N8A, Cian 676M6A, Magenta 676M7A, Amarillo 676M8A. Cabezal 498N0A.",T850,m,162958.94736842107,162958.95,8356.87,244438.43,244438.43,325917.9,228142.53,195550.74,impresoras,./assets/img/catalog/impresoras/PLOHPD770.jpg,https://static.ctonline.mx/imagenes/PLOHPD770/PLOHPD770_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD780,PLOHPD780,Plotter HP DesignJet T950 de 36 pulgadas. Modelo: 2Y9H1A. Tecnología de impresión: Inyección té,"Plotter HP DesignJet T950 de 36 pulgadas. Modelo: 2Y9H1A. Tecnología de impresión: Inyección térmica de tinta HP. Memoria: 1GB. Tamaño del modelo: 914 mm. Velocidad de impresión: 21 segundos por página en A1, 120 impresiones A1 por hora. Calidad de impresión en color: Optimizada hasta 2400 x 1200 dpi. Dimensiones: 1575 x 630 x 780 mm. Peso: 84 kg. Consumibles: Rendimiento de 130ml Negro 498N4A, Cian 498N5A, Magenta 498N6A, Amarillo 498N7A. Rendimiento 300ml Negro 498N8A, Cian 676M6A, Magenta 676M7A, Amarillo 676M8A. Cabezal 498N0A.",T950,m,94885.26315789475,94885.26,4865.91,142327.89,142327.89,189770.52,132839.36,113862.31,impresoras,./assets/img/catalog/impresoras/PLOHPD780.jpg,https://static.ctonline.mx/imagenes/PLOHPD780/PLOHPD780_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD530,PLOHPD530,"Plotter HP DesignJet T1700 de 44 pulgadas (W6B55A). Alimentación por hojas, alimentación por ro","Plotter HP DesignJet T1700 de 44 pulgadas (W6B55A). Alimentación por hojas, alimentación por rollo, cortador horizontal automático. Velocidad de impresión 116 A1/h, 26 s/A1 Resolución de impresión Optimizada hasta 2400 x 1200 dpi. Tamaño del rollo 279 a 1.118 mm Peso máximo de rollo 11,9 kg. Diámetro máximo del rollo 135 mm. Tamaño de hoja 210 x 279 a 1118 x 1676 mm Funciones de seguridad HP Wolf Pro Security, Arranque seguro de HP, Lista blancas, Control de acceso basado en roles. Consumibles: No. 730 CORROBORAR CARGO DE FLETE.",T1700,m,133726.31578947368,133726.32,6857.76,200589.48,200589.48,267452.64,187216.85,160471.58,impresoras,./assets/img/catalog/impresoras/PLOHPD530.jpg,https://static.ctonline.mx/imagenes/PLOHPD530/PLOHPD530_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD860,PLOHPD860,"Plotter HP DesignJet T950 de 36 pulgadas. Modelo: 2Y9H3A. Impresión, Copia, Escaneado. Tecnolog","Plotter HP DesignJet T950 de 36 pulgadas. Modelo: 2Y9H3A. Impresión, Copia, Escaneado. Tecnología de impresión: Inyección térmica de tinta HP. Memoria: 2GB. Tamaño del modelo: 914 mm. Velocidad de impresión: 21 segundos por página en A1, 120 impresiones A1 por hora. Calidad de impresión en color: Optimizada hasta 2400 x 1200 dpi. Tamaño de escaneo máximo: 914 mm x 2,77 m Dimensiones: 1575 x 630 x 780 mm. Peso: 97 kg. Consumibles: Rendimiento de 130ml Negro 498N4A, Cian 498N5A, Magenta 498N6A, Amarillo 498N7A. Rendimiento 300ml Negro 498N8A, Cian 676M6A, Magenta 676M7A, Amarillo 676M8A. Cabezal 498N0A",T950,m,174612.6315789474,174612.63,8954.49,261918.95,261918.95,349225.26,244457.68,209535.16,impresoras,./assets/img/catalog/impresoras/PLOHPD860.jpg,https://static.ctonline.mx/imagenes/PLOHPD860/PLOHPD860_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD870,PLOHPD870,"Plotter HP DESIGNJET T870 de 24 pulgadas (AM0X9A) (60.96cm). Rodillo de alimentación, alimentad","Plotter HP DESIGNJET T870 de 24 pulgadas (AM0X9A) (60.96cm). Rodillo de alimentación, alimentador automático de hojas (con capacidad para 50 hojas), bandeja de soportes, cortadora horizontal automática. Velocidad de impresión 21 s/página en A1,120 impresiones A1 por hora. Tamaño del rollo 369 a 610 mm. Tamaño de la hoja Alimentador automático de hojas: 210 x 279 mm a 305 x 457 mm, Alimentación manual: 210 x 279 a 609 x 1676 mm. Conectividad: Gigabit Ethernet (1000Base-T), Wi-Fi 802.11b/g/n. Idiomas de la impresión nativa: TIFF, JPEG, URF, PDF, HP-GL/2, HP-RTL,CALS G4. Certificación: ENERGY STAR®, EPEAT , UL ECOLOGO.",DESIGNJET,m,44680.0,44680.0,2291.28,67020.0,67020.0,89360.0,62552.0,53616.0,impresoras,./assets/img/catalog/impresoras/PLOHPD870.jpg,https://static.ctonline.mx/imagenes/PLOHPD870/PLOHPD870_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PLOHPD880,PLOHPD880,"Plotter HP DesignJet Z6DR 44IN T8W18A (111.76cm). Dos alimentadores de rollos automáticos, inte","Plotter HP DesignJet Z6DR 44IN T8W18A (111.76cm). Dos alimentadores de rollos automáticos, intercambio automático de rollos, alimentación superior de hojas, bandeja de salida de soportes, cortador horizontal y recortador vertical automáticos. Velocidad de impresión Rápido: 80,5 m²/h en medios normales; Normal: 18,8 m²/h en medios recubiertos; Mejor: 9,7 m²/h en medios brillantes. Rollos de soportes: 2; Tamaño del rollo: 279 a 1.118 mm; Peso máximo de rollo: 13,5 kg; Diámetro máximo del rollo: 135 mm; Ancho máximo del papel 1118 mm. Tamaño de hoja 210 x 279 a 1118 x 1676 mm. Hojas estándar A4, A3, A2, A1, A0. Recomendado Gramaje 80 a 500 g/m². Grosor Hasta 0,8 mm. Tipos de soportes Fotográfico, material para impresión artística, autoadhesivo, cartel y letrero, grueso y recubierto, retroiluminado. Conectividad Gigabit Ethernet (1000Base-T) (802.3, 802.3u, 802.3ab); Interfaz Hi-Speed. USB 2.0 certificada para impresión directa desde unidad flash USB. Idiomas de impresión nativa Adobe PostScript 3, Adobe PDF 1.7, TIFF, JPEG,CALS G4, HP-GL/2, HP-RTL",Z6DR,m,165513.68421052632,165513.68,8487.88,248270.52,248270.52,331027.36,231719.15,198616.42,impresoras,./assets/img/catalog/impresoras/PLOHPD880.jpg,https://static.ctonline.mx/imagenes/PLOHPD880/PLOHPD880_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
