sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
MONSMG2120,MONSMG2120,"Monitor SAMSUNG Essential S3, S30GD, 22"", Modelo: LS22D300GALXZX; Tamaño de pantalla 22""; Monit","Monitor SAMSUNG Essential S3, S30GD, 22"", Modelo: LS22D300GALXZX; Tamaño de pantalla 22""; Monitor Plano (Flat); Panel IPS; Resolución Full HD (1920x1080); Frecuencia de actualización Máx. 100Hz; Relación de aspecto 16:9; Brillo (típico) 250cd/m2; Radio de contraste estático 1000:1 (típico); Tiempo de respuesta 5ms(GTG); Ángulo de visión 178°(H)/178° (H/V); Características generales: Eco Saving Plus, Con Modo Eye Saver, Con Flicker Free, Certificación Windows 11, FreeSync, con Off Timer Plus; Interfaz: HDMI 1 EA, Versión HDMI 1.4, D-Sub 1EA; Color Negro, Montura de Pared 100 x 100; Dimensión con soporte 489.9 x 400.0 x 175.1 mm. (anch. x alt. x prof.), Peso del equipo con soporte 2.1kg.",SAMSUNG,m,1230.5263157894738,1230.53,63.1,1845.8,1845.8,2461.06,1722.74,1476.64,monitores,./assets/img/catalog/monitores/MONSMG2120.jpg,https://static.ctonline.mx/imagenes/MONSMG2120/MONSMG2120_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2070,MONSMG2070,"Monitor SAMSUNG Gamer Curvo 24"", FHD, Plano, Modelo: LS24DG300ELXZX; Tamaño de pantalla 24""; Re","Monitor SAMSUNG Gamer Curvo 24"", FHD, Plano, Modelo: LS24DG300ELXZX; Tamaño de pantalla 24""; Resolución FHD 1920 x 1080; Frecuencia de actualización 180Hz; Brillo (típico) 250cd/m2; Radio de contraste estático 3000:1 (Typical); Tiempo de respuesta 1ms(MPRT); Ángulo de visión 178°(H)/178° (H/V), Tipo de Panel VA; Características Generales: Modo Eye Saver; Eco Saving Plus, Flicker Free, Certificación Windows 11, FreeSync, Off Timer Plus, Auto Source Switch; Interfaz: DisplayPort (1 EA), HDMI (1 EA), HDMI Versión 2.0, con entrada para audífonos; Color Negro; Montaje Pared 100 x 100; Dimensión con soporte 544 x 498.7 x 234.2 mm. (Ancho x Alto x Profundidad), Peso del equipo con base 3.9 kg.",SAMSUNG,m,2420.0,2420.0,124.1,3630.0,3630.0,4840.0,3388.0,2904.0,monitores,./assets/img/catalog/monitores/MONSMG2070.jpg,https://static.ctonline.mx/imagenes/MONSMG2070/MONSMG2070_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2360,MONSMG2360,"Monitor SAMSUNG Essential S3, 24"", Modelo: LS24F334EALXZX; Tamaño de pantalla 24""; Monitor Plan","Monitor SAMSUNG Essential S3, 24"", Modelo: LS24F334EALXZX; Tamaño de pantalla 24""; Monitor Plano (Flat); Panel VA; Resolución FHD (1920 x 1080); Frecuencia de actualización Máx. 100Hz; Relación de aspecto 16:9; Brillo (típico) 250cd/m2; Relación de contraste estático 3000:1 (típico); Tiempo de respuesta 5ms; Ángulo de visión 178°(H)/178° (H/V); Características generales: Eco Saving Plus, Modo Eye Saver, Con Flicker Free, Certificación Windows 11, con Off Timer Plus; Interfaz: D-Sub, HDMI 1 EA, Versión HDMI 1.4; Color Negro, Montura de Pared 100 x 100; Dimensión con soporte 539.5 x 422.8 x 217.4mm. (Ancho x Alto x Prof.), Peso del equipo con soporte 2.8kg.",SAMSUNG,m,1588.421052631579,1588.42,81.46,2382.63,2382.63,3176.84,2223.79,1906.1,monitores,./assets/img/catalog/monitores/MONSMG2360.jpg,https://static.ctonline.mx/imagenes/MONSMG2360/MONSMG2360_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2090,MONSMG2090,"Monitor SAMSUNG Essential S3, S30GD, 24"", Modelo: LS24D300GALXZX; Tamaño de pantalla 24""; Monit","Monitor SAMSUNG Essential S3, S30GD, 24"", Modelo: LS24D300GALXZX; Tamaño de pantalla 24""; Monitor Plano (Flat); Panel IPS; Resolución Full HD (1920x1080); Frecuencia de actualización Máx. 100Hz; Relación de aspecto 16:9; Brillo (típico) 250cd/m2; Radio de contraste estático 1000:1 (típico); Tiempo de respuesta 5ms (GTG); Ángulo de visión 178°(H)/178° (H/V); Características generales: Eco Saving Plus, Con Modo Eye Saver; Con Flicker Free, con tamaño de imagen, Certificación Windows 11; Interfaz: HDMI 1 EA, Versión HDMI 1.4, D-Sub (x1); Color Negro, Montura de Pared 100 x 100, Dimensión con soporte 540.7 x 428.5 x 175.1 mm. (anch. x alt. x prof.), Peso del equipo con soporte 2.4kg.",SAMSUNG,m,1425.2631578947369,1425.26,73.09,2137.89,2137.89,2850.52,1995.36,1710.31,monitores,./assets/img/catalog/monitores/MONSMG2090.jpg,https://static.ctonline.mx/imagenes/MONSMG2090/MONSMG2090_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2210,MONSMG2210,"Monitor SAMSUNG Curvo Essential S3, S39GD, 32"", Modelo: LS32D390GALXZX; Tamaño de pantalla 32"";","Monitor SAMSUNG Curvo Essential S3, S39GD, 32"", Modelo: LS32D390GALXZX; Tamaño de pantalla 32""; Monitor con curvatura 1500R; Panel VA; Resolución Full HD (1920x1080); Frecuencia de actualización Máx. 100Hz; Relación de aspecto 16:9; Brillo (típico) 250cd/m2; Relación de contraste estático 3000:1 (típico); Tiempo de respuesta 4ms(GTG); Ángulo de visión 178°(H)/178° (H/V); Características generales: Eco Saving Plus, Con Modo Eye Saver, Con Flicker Free, Certificación Windows 11, con Off Timer Plus; Interfaz: HDMI 1 EA, Versión HDMI 1.4, D-Sub 1EA, con entrada para audífonos; Color Negro, Montura de Pared 75.0 x 75.0; Dimensión con soporte 716.1 x 525.3 x 260.9 mm. (Ancho x Alto x Profundidad), Peso del equipo con soporte 5.1kg.",SAMSUNG,m,3146.315789473684,3146.32,161.35,4719.48,4719.48,6292.64,4404.85,3775.58,monitores,./assets/img/catalog/monitores/MONSMG2210.jpg,https://static.ctonline.mx/imagenes/MONSMG2210/MONSMG2210_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2080,MONSMG2080,"Monitor SAMSUNG Odyssey G3 Gamer, 27"", Modelo: LS27DG300ELXZX; Tamaño de pantalla 27""; Monitor ","Monitor SAMSUNG Odyssey G3 Gamer, 27"", Modelo: LS27DG300ELXZX; Tamaño de pantalla 27""; Monitor Plano (Flat); Panel VA; Resolución Full HD (1920x1080); Frecuencia de actualización Máx. 180Hz; Relación de aspecto 16:9; Brillo (típico) 250cd/m2; Radio de contraste estático 3000:1 (típico); Tiempo de respuesta 1ms(MPRT); Ángulo de visión 178°(H)/178° (H/V); Características generales: Eco Saving Plus, Con Modo Eye Saver, Con Flicker Free, Certificación Windows 11, FreeSync, con Off Timer Plus, Black Equalizer, Virtual AIM Point, Refresh Rate Optimizor, Auto Source Switch; Interfaz: DisplayPort 1EA, Verisón de DisplayPort 1.4, HDMI 1 EA, Versión HDMI 2.0; Color Negro, Montura de Pared 100 x 100; Dimensión con soporte 618.2 x 520.6 x 234.2 mm. (anch. x alt. x prof.), Peso del equipo con soporte 4.4kg.",SAMSUNG,m,3020.0,3020.0,154.87,4530.0,4530.0,6040.0,4228.0,3624.0,monitores,./assets/img/catalog/monitores/MONSMG2080.jpg,https://static.ctonline.mx/imagenes/MONSMG2080/MONSMG2080_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG1760,MONSMG1760,"Monitor Odyssey G4 Gamer 27 pulgadas, Modelo LS27BG400ELXZX, con panel IPS, Relación de aspecto","Monitor Odyssey G4 Gamer 27 pulgadas, Modelo LS27BG400ELXZX, con panel IPS, Relación de aspecto 16:9, Brillo (típico) 400 cd/㎡, Relación de contraste estático 1,000:1(Typ.), Resolución 1,920 x 1,080, Tiempo de respuesta 1ms (GTG), Ángulo de visualización (H / V) 178°(H)/178°(V); Soporte de colores Max 16.7M, Frecuencia de actualización Max 240Hz; Características generales: Eco Saving Plus, Eco Light Sensor, Modo Eye Saver, Flicker Free, Certificación Windows 10, FreeSync Premium, G-Sync Compatible, Off Timer Plus, Off Timer Plus, Black Equalizer, Low Input Lag Mode, Virtual AIM Point, Refresh Rate Optimizor, Super Arena Gaming UX, Auto Source Switch+, Adaptive Picture, Ultrawide Game View; Interfaz: DisplayPort 1 EA, Versión de DisplayPort 1.2, HDMI 2 EA, Versión de HDMI 2.0, HDCP Version (HDMI) 2.2, con entrada para Audífonos; Color Negro; Montura de pared 100 x 100; Dimensiones del equipo con base 614.7 x 571.1 x 244.8 mm (A x Al x P); Peso del equipo con base 5.3 kg.",CT,m,4160.0,4160.0,213.33,6240.0,6240.0,8320.0,5824.0,4992.0,monitores,./assets/img/catalog/monitores/MONSMG1760.jpg,https://static.ctonline.mx/imagenes/MONSMG1760/MONSMG1760_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2030,MONSMG2030,"Monitor SAMSUNG Gamer Odyssey G3, 32"", Modelo: LS32DG300ELXZX; Tamaño de pantalla 32""; Monitor ","Monitor SAMSUNG Gamer Odyssey G3, 32"", Modelo: LS32DG300ELXZX; Tamaño de pantalla 32""; Monitor Plano (Flat); Panel VA; Resolución FHD (1920x1080); Frecuencia de actualización Máx. 180Hz; Relación de aspecto 16:9; Brillo (típico) 250cd/m2; Radio de contraste estático 3000:1 (típico); Tiempo de respuesta 1ms (MPRT); Ángulo de visión 178°(H)/178° (H/V); Características generales: Eco Saving Plus, Con Modo Eye Saver; Con Flicker Free, Certificación Windows 11, FreeSync, con Off Timer Plus, con ecualizador negro, con Virtual AIM Point, con Optimizador de frecuencia de actualización, con Auto Source Switch; Interfaz: DisplayPort 1 EA, Versión del DisplayPort 1.4, HDMI 1 EA, Versión HDMI 2.0, Con entrada para audífonos; Color Negro, Soporte de Pared 100 x 100, Dimensión con soporte 719.2 x 597.4 x 248.8 mm. (anch. x alt. x prof.), Peso del equipo con soporte 5.6 kg.",SAMSUNG,m,3651.5789473684213,3651.58,187.26,5477.37,5477.37,7303.16,5112.21,4381.9,monitores,./assets/img/catalog/monitores/MONSMG2030.jpg,https://static.ctonline.mx/imagenes/MONSMG2030/MONSMG2030_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG1930,MONSMG1930,"Monitor SAMSUNG Ultra WQHD, 34"", Curvo 1000R, con Thunderbolt 4; Modelo: LS34C650TALXZX; Tamaño","Monitor SAMSUNG Ultra WQHD, 34"", Curvo 1000R, con Thunderbolt 4; Modelo: LS34C650TALXZX; Tamaño de la Pantalla 34"", Diseño Curvo 1000R; Relación de Aspecto 21:9; Brillo (típico) 350cd/㎡; Relación de contraste estático 3,000:1 (típica); Resolución 3,440 x 1,440; Tiempo de respuesta 5ms; Ángulo de visualización (H / V) 178° / 178°; Frecuencia de actualización Máx. 100Hz, Características Generales: Modo Eye Saver; Flicker Free; Picture-in-Picture; Picture-By-Picture; Certificación Windows 11; FreeSync, Adaptive Picture; Interfaz: DisplayPort 1 EA; Versión de DisplayPort 1.2; HDMI 1 EA, Versión de HDMI 2.2, Entrada de Audífonos; USB Type-A Downstream Port 3, USB Type-A Downstream Port Hub Versión 3, Thunderbolt Input 2A, Versión of Thunderbolt 4, Ethernet (LAN) x1; Montura de pared 100 x 100; Dimensiones del equipo con base 806.6 x 561.5 x 241.0 mm (A x Al x Prof.); Peso del equipo con base 8.1 kg.",SAMSUNG,m,7809.473684210527,7809.47,400.49,11714.2,11714.2,15618.94,10933.26,9371.36,monitores,./assets/img/catalog/monitores/MONSMG1930.jpg,https://static.ctonline.mx/imagenes/MONSMG1930/MONSMG1930_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MONSMG2040,MONSMG2040,"Monitor SAMSUNG Curvo 27"", FHD, 1800R, Modelo: LS27D360GALXZX; Tamaño de pantalla 27""; Resoluci","Monitor SAMSUNG Curvo 27"", FHD, 1800R, Modelo: LS27D360GALXZX; Tamaño de pantalla 27""; Resolución FHD 1920 x 1080; Frecuencia de actualización 100Hz; Brillo (típico) 250cd/m2; Radio de contraste estático 3000:1 (Typical); Tiempo de respuesta 4ms(GTG); Ángulo de visión 178°(H)/178° (H/V); Características Generales: Modo Eye Saver; Eco Saving Plus, Flicker Free, Image Size, Certificación Windows 11, FreeSync; Interfaz: D-Sub 1 EA, HDMI 1 EA, HDMI Version 1.4; Color Negro; Montaje Pared 75 x 75; Dimensión con soporte 622.6 x 458.6 x 214 mm. (anch. x alt. x prof.), Peso del equipo con base 3.9 kg.",SAMSUNG,m,2247.3684210526317,2247.37,115.25,3371.05,3371.05,4494.74,3146.32,2696.84,monitores,./assets/img/catalog/monitores/MONSMG2040.jpg,https://static.ctonline.mx/imagenes/MONSMG2040/MONSMG2040_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
